mood,track_name,artist,track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
stressful,Shut Me Up,Mindless Self Indulgence,7AH9Fmka4of4Y25lfhvBUC,0.000673,0.589,0.797,0,1,0.0246,-4.213,1,0.173,174.039,4,0.787
stressful,Saint Bernard,Lincoln,4YTFAawmOFyRjJdT6H95oE,0.838,0.693,0.234,0,1,0.59,-10.995,1,0.0987,100.488,4,0.44
stressful,Bernadette,IAMX,0bs4kqtMjLLAGnzW3ueLZV,0.175,0.168,0.684,0.00322,7,0.0886,-6.13,0,0.0425,67.521,4,0.115
stressful,Let Me Follow,Son Lux,4mBA0FHbLRbGXAqQJBepUb,0.765,0.484,0.218,0.0304,8,0.11,-13.423,0,0.0305,87.983,4,0.128
stressful,A Different Kind of Love,Son Lux,4Adp5ixl3CJLBkCxGZWGUC,0.299,0.442,0.223,0.34,11,0.102,-13.552,0,0.0314,80.081,4,0.13
stressful,Easy,Son Lux,0BQMym4vrghWvHFDQybmRa,0.345,0.602,0.304,0.0238,2,0.0969,-9.948,0,0.0736,73.329,4,0.156
stressful,Plans We Made,Son Lux,2SieYbWMvEVhiTSmBUALv0,0.641,0.554,0.163,0.00248,3,0.113,-15.165,1,0.0369,102.166,4,0.136
stressful,Run Boy Run,Woodkid,0boS4e6uXwp3zAvz1mLxZS,0.084,0.506,0.959,0.000655,5,0.135,-5.264,0,0.102,133.996,4,0.34
stressful,Come Little Children / The Hanging Tree,Peter Hollens,2IfIIu4v91BXJxspBlISbv,0.826,0.491,0.268,0,0,0.484,-10.347,0,0.0409,130.494,3,0.342
stressful,Saints,Echos,3BuFzaaIPQHAFqPubPzcIO,0.026,0.512,0.477,4.84E-05,2,0.11,-9.912,0,0.0311,120.04,4,0.174
stressful,Bermuda,Sickick,5wE12WDUvty3rLhI19CZNF,0.552,0.6,0.414,2.05E-05,4,0.0584,-10.179,0,0.204,149.949,4,0.364
stressful,Black Sea,Natasha Blume,5XMYHUrX71sStmDNqJoyPZ,0.176,0.463,0.595,9.11E-06,4,0.174,-5.251,0,0.0332,59.977,4,0.108
stressful,Where the Watermelons Rot,Madelynne Whitt,37gb4JjvBTcuRONxvw8OeF,0.876,0.457,0.186,0.00437,9,0.332,-20.866,1,0.124,144.68,4,0.269
stressful,Corridors,Hildur Guðnadóttir,4f76tcz3PKwty5QVA8JVCA,0.187,0.206,0.337,0.926,4,0.224,-15.391,1,0.065,161.707,4,0.0324
stressful,Every You Every Me,Placebo,3tRv4ZYZimrL27flnjgeR6,2.70E-05,0.478,0.923,0.719,10,0.325,-7.547,1,0.0569,133.134,4,0.165
stressful,Running Up That Hill,Placebo,6RHHbAbyIcPpvS1dP3KUGq,0.269,0.45,0.356,0.515,10,0.0944,-13.692,0,0.0337,179.937,4,0.0839
stressful,Outcast,Scary Music Orchestra,5dAxe9q81t9RXyoDXM2BTT,0.995,0.166,0.00606,0.939,11,0.0835,-31.063,0,0.0405,71.504,4,0.05
stressful,Breezeblocks,alt-J,3n69hLUdIsSa1WlRmjMZlW,0.096,0.616,0.656,0.000879,5,0.205,-7.298,1,0.0344,150.071,4,0.286
